날짜,금액,소분류,업종코드,대분류,중분류
2023.11.23,-1400,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.23,-10000,한식,ss001,요식/유흥,한식
2023.11.22,-3000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.11.22,-24000,한식,ss001,요식/유흥,한식
2023.11.22,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.21,-11900,기타요식,ss008,요식/유흥,기타요식
2023.11.21,-4990,온라인거래,ss068,전자상거래,전자상거래
2023.11.20,-48800,유흥주점,ss011,요식/유흥,유흥
2023.11.20,-1500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.17,-2800,편의점,ss016,유통,편의점
2023.11.17,-10000,한식,ss001,요식/유흥,한식
2023.11.17,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.16,-2800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.16,-1400,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.15,-6500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.15,-3000,취미/오락,ss030,스포츠/문화/레저,스포츠/문화/레저
2023.11.15,-22100,한식,ss001,요식/유흥,한식
2023.11.15,-1000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.14,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.13,-39860,할인점/슈퍼마켓,ss013,유통,할인점/슈퍼마켓
2023.11.13,-16000,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.11.13,-13000,세탁소,ss045,가정생활/서비스,서비스
2023.11.13,-8100,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.11.13,-5000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.11.13,-24000,한식,ss001,요식/유흥,한식
2023.11.11,-6430,온라인거래,ss068,전자상거래,전자상거래
2023.11.10,-1000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.10,-9000,한식,ss001,요식/유흥,한식
2023.11.9,-34810,통신,ss048,가정생활/서비스,각종요금
2023.11.9,-45140,통신,ss048,가정생활/서비스,각종요금
2023.11.9,-5000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.11.9,-13800,온라인거래,ss068,전자상거래,전자상거래
2023.11.9,-2000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.11.8,-69300,의복/의류,ss021,의류/잡화,의복/의류
